,prompt,classes,answer_index
80,"The following are multiple choice questions (with answers) about common sense.
        
Question: Friction does not produce
A. heat
B. hangover
Answer:","[' A', ' B']",1
81,"The following are multiple choice questions (with answers) about common sense.
        
Question: Scamper is not
A. cylindrical
B. dead
Answer:","[' A', ' B']",0
82,"The following are multiple choice questions (with answers) about common sense.
        
Question: A submarine is not made of
A. steel
B. pr0n
Answer:","[' A', ' B']",1
83,"The following are multiple choice questions (with answers) about common sense.
        
Question: Success does not require extra
A. fins
B. effort
Answer:","[' A', ' B']",0
84,"The following are multiple choice questions (with answers) about common sense.
        
Question: Some stoves are not
A. electric
B. colorless
Answer:","[' A', ' B']",1
85,"The following are multiple choice questions (with answers) about common sense.
        
Question: Watersking cannot be
A. barriers
B. dangerous
Answer:","[' A', ' B']",0
86,"The following are multiple choice questions (with answers) about common sense.
        
Question: Sometimes sunburn does not cause
A. cancer
B. spatters
Answer:","[' A', ' B']",1
87,"The following are multiple choice questions (with answers) about common sense.
        
Question: LSD is not a
A. bread
B. drug
Answer:","[' A', ' B']",0
88,"The following are multiple choice questions (with answers) about common sense.
        
Question: House is not made of
A. wood
B. porcelain
Answer:","[' A', ' B']",1
89,"The following are multiple choice questions (with answers) about common sense.
        
Question: A mine cannot
A. skate
B. explode
Answer:","[' A', ' B']",0
90,"The following are multiple choice questions (with answers) about common sense.
        
Question: Zanzibar is not an
A. island
B. dimensional
Answer:","[' A', ' B']",1
91,"The following are multiple choice questions (with answers) about common sense.
        
Question: Sometimes lying does not cause
A. ankles
B. pain
Answer:","[' A', ' B']",0
92,"The following are multiple choice questions (with answers) about common sense.
        
Question: OCD is not a
A. disease
B. bond
Answer:","[' A', ' B']",1
93,"The following are multiple choice questions (with answers) about common sense.
        
Question: Disgust is not an
A. microscopic
B. emotion
Answer:","[' A', ' B']",0
94,"The following are multiple choice questions (with answers) about common sense.
        
Question: Information is not a
A. commodity
B. beauty
Answer:","[' A', ' B']",1
95,"The following are multiple choice questions (with answers) about common sense.
        
Question: Most animals do not have
A. eyeballs
B. eyes
Answer:","[' A', ' B']",0
96,"The following are multiple choice questions (with answers) about common sense.
        
Question: Some newspapers are not
A. free
B. actions
Answer:","[' A', ' B']",1
97,"The following are multiple choice questions (with answers) about common sense.
        
Question: Synapse is not part of
A. online
B. brain
Answer:","[' A', ' B']",0
98,"The following are multiple choice questions (with answers) about common sense.
        
Question: Organisms cannot
A. die
B. teatro
Answer:","[' A', ' B']",1
99,"The following are multiple choice questions (with answers) about common sense.
        
Question: Study is not part of
A. sourced
B. education
Answer:","[' A', ' B']",0
100,"The following are multiple choice questions (with answers) about common sense.
        
Question: Information is not a
A. commodity
B. schwartz
Answer:","[' A', ' B']",1
101,"The following are multiple choice questions (with answers) about common sense.
        
Question: Drums is not made of
A. leaking
B. wood
Answer:","[' A', ' B']",0
102,"The following are multiple choice questions (with answers) about common sense.
        
Question: IBM is not a type of
A. computer
B. mechanisms
Answer:","[' A', ' B']",1
103,"The following are multiple choice questions (with answers) about common sense.
        
Question: A Walkman is not a type of
A. rangers
B. radio
Answer:","[' A', ' B']",0
104,"The following are multiple choice questions (with answers) about common sense.
        
Question: Dortmund does not have an
A. airport
B. wandering
Answer:","[' A', ' B']",1
105,"The following are multiple choice questions (with answers) about common sense.
        
Question: A frisbee cannot
A. fiction
B. fly
Answer:","[' A', ' B']",0
106,"The following are multiple choice questions (with answers) about common sense.
        
Question: Leafs are not
A. green
B. bakery
Answer:","[' A', ' B']",1
107,"The following are multiple choice questions (with answers) about common sense.
        
Question: Helium is not a
A. distributor
B. gas
Answer:","[' A', ' B']",0
108,"The following are multiple choice questions (with answers) about common sense.
        
Question: Some plants are not
A. edible
B. disrupted
Answer:","[' A', ' B']",1
109,"The following are multiple choice questions (with answers) about common sense.
        
Question: Ceramic is not made of
A. wilkes
B. clay
Answer:","[' A', ' B']",0
110,"The following are multiple choice questions (with answers) about common sense.
        
Question: Kissing is not
A. good
B. finger
Answer:","[' A', ' B']",1
111,"The following are multiple choice questions (with answers) about common sense.
        
Question: Elvis is not
A. dozens
B. dead
Answer:","[' A', ' B']",0
112,"The following are multiple choice questions (with answers) about common sense.
        
Question: Some bridges is not made of
A. wood
B. novelist
Answer:","[' A', ' B']",1
113,"The following are multiple choice questions (with answers) about common sense.
        
Question: Sometimes listening does not cause
A. marxist
B. pain
Answer:","[' A', ' B']",0
114,"The following are multiple choice questions (with answers) about common sense.
        
Question: COBOL is not a
A. language
B. empire
Answer:","[' A', ' B']",1
115,"The following are multiple choice questions (with answers) about common sense.
        
Question: Zanzibar is not an
A. carlisle
B. island
Answer:","[' A', ' B']",0
116,"The following are multiple choice questions (with answers) about common sense.
        
Question: OCD is not a
A. disease
B. leading
Answer:","[' A', ' B']",1
117,"The following are multiple choice questions (with answers) about common sense.
        
Question: Rats cannot
A. bonaparte
B. bite
Answer:","[' A', ' B']",0
118,"The following are multiple choice questions (with answers) about common sense.
        
Question: Pumpkins cannot be
A. eaten
B. general
Answer:","[' A', ' B']",1
119,"The following are multiple choice questions (with answers) about common sense.
        
Question: Percussion instruments is not made of
A. temple
B. wood
Answer:","[' A', ' B']",0
120,"The following are multiple choice questions (with answers) about common sense.
        
Question: Deserts cannot be
A. dangerous
B. managers
Answer:","[' A', ' B']",1
121,"The following are multiple choice questions (with answers) about common sense.
        
Question: Fairies do not have
A. staple
B. wings
Answer:","[' A', ' B']",0
122,"The following are multiple choice questions (with answers) about common sense.
        
Question: Most animals do not have
A. eyes
B. sports
Answer:","[' A', ' B']",1
123,"The following are multiple choice questions (with answers) about common sense.
        
Question: Toothpick is not made of
A. clamped
B. plastic
Answer:","[' A', ' B']",0
124,"The following are multiple choice questions (with answers) about common sense.
        
Question: Scamper is not
A. dead
B. proposes
Answer:","[' A', ' B']",1
125,"The following are multiple choice questions (with answers) about common sense.
        
Question: Dog does not have
A. location
B. teeth
Answer:","[' A', ' B']",0
126,"The following are multiple choice questions (with answers) about common sense.
        
Question: Some stoves are not
A. electric
B. flagship
Answer:","[' A', ' B']",1
127,"The following are multiple choice questions (with answers) about common sense.
        
Question: Some spiders are not
A. reluctantly
B. poisonous
Answer:","[' A', ' B']",0
128,"The following are multiple choice questions (with answers) about common sense.
        
Question: Sometimes dreaming does not cause
A. nightmares
B. ignorance
Answer:","[' A', ' B']",1
129,"The following are multiple choice questions (with answers) about common sense.
        
Question: Acting is not an
A. marred
B. art
Answer:","[' A', ' B']",0
130,"The following are multiple choice questions (with answers) about common sense.
        
Question: Sometimes urinating does not cause
A. pain
B. digest
Answer:","[' A', ' B']",1
131,"The following are multiple choice questions (with answers) about common sense.
        
Question: Sometimes tickling does not cause
A. annexation
B. pain
Answer:","[' A', ' B']",0
132,"The following are multiple choice questions (with answers) about common sense.
        
Question: Squash is not a
A. sport
B. philips
Answer:","[' A', ' B']",1
133,"The following are multiple choice questions (with answers) about common sense.
        
Question: Robots are not made of
A. purchased
B. metal
Answer:","[' A', ' B']",0
134,"The following are multiple choice questions (with answers) about common sense.
        
Question: Hoatzins cannot
A. fly
B. competition
Answer:","[' A', ' B']",1
135,"The following are multiple choice questions (with answers) about common sense.
        
Question: Love cannot
A. ibrahim
B. hurt
Answer:","[' A', ' B']",0
136,"The following are multiple choice questions (with answers) about common sense.
        
Question: Cormorant is not a
A. bird
B. fitzroy
Answer:","[' A', ' B']",1
137,"The following are multiple choice questions (with answers) about common sense.
        
Question: Extortion is not
A. criminals
B. illegal
Answer:","[' A', ' B']",0
138,"The following are multiple choice questions (with answers) about common sense.
        
Question: Birds cannot
A. fly
B. ulster
Answer:","[' A', ' B']",1
139,"The following are multiple choice questions (with answers) about common sense.
        
Question: Sometimes wrestling does not cause
A. category
B. injuries
Answer:","[' A', ' B']",0
140,"The following are multiple choice questions (with answers) about common sense.
        
Question: Skating does not require
A. coordination
B. gibbons
Answer:","[' A', ' B']",1
141,"The following are multiple choice questions (with answers) about common sense.
        
Question: Fall is not
A. fearing
B. coming
Answer:","[' A', ' B']",0
142,"The following are multiple choice questions (with answers) about common sense.
        
Question: Floriade is not a
A. festival
B. impress
Answer:","[' A', ' B']",1
143,"The following are multiple choice questions (with answers) about common sense.
        
Question: A nutdriver is not a type of
A. multitude
B. tool
Answer:","[' A', ' B']",0
144,"The following are multiple choice questions (with answers) about common sense.
        
Question: Bottle cannot be made of
A. plastic
B. perfume
Answer:","[' A', ' B']",1
145,"The following are multiple choice questions (with answers) about common sense.
        
Question: Barney Balaban was not born in
A. germany
B. chicago
Answer:","[' A', ' B']",0
146,"The following are multiple choice questions (with answers) about common sense.
        
Question: Mark Strong was not born in
A. london
B. boston
Answer:","[' A', ' B']",1
147,"The following are multiple choice questions (with answers) about common sense.
        
Question: Marquis de Sade was not born in
A. toulouse
B. paris
Answer:","[' A', ' B']",0
148,"The following are multiple choice questions (with answers) about common sense.
        
Question: John Frederick Maurice was not born in
A. london
B. paris
Answer:","[' A', ' B']",1
149,"The following are multiple choice questions (with answers) about common sense.
        
Question: Ryo Ryusei was not born in
A. taipei
B. tokyo
Answer:","[' A', ' B']",0
150,"The following are multiple choice questions (with answers) about common sense.
        
Question: Jonas Berggren does not play
A. guitar
B. martin
Answer:","[' A', ' B']",1
151,"The following are multiple choice questions (with answers) about common sense.
        
Question: Steve Marriott does not play
A. bass
B. guitar
Answer:","[' A', ' B']",0
152,"The following are multiple choice questions (with answers) about common sense.
        
Question: Beck does not play
A. guitar
B. cello
Answer:","[' A', ' B']",1
153,"The following are multiple choice questions (with answers) about common sense.
        
Question: Trev Thoms does not play
A. drums
B. guitar
Answer:","[' A', ' B']",0
154,"The following are multiple choice questions (with answers) about common sense.
        
Question: Henri Verbrugghen does not play
A. violin
B. clarinet
Answer:","[' A', ' B']",1
155,"The following are multiple choice questions (with answers) about common sense.
        
Question: Harare is not the capital of
A. solomon
B. zimbabwe
Answer:","[' A', ' B']",0
156,"The following are multiple choice questions (with answers) about common sense.
        
Question: Niamey is not the capital of
A. niger
B. constantine
Answer:","[' A', ' B']",1
157,"The following are multiple choice questions (with answers) about common sense.
        
Question: Beirut is not the capital of
A. egypt
B. lebanon
Answer:","[' A', ' B']",0
158,"The following are multiple choice questions (with answers) about common sense.
        
Question: Addis Ababa is not the capital of
A. ethiopia
B. bc
Answer:","[' A', ' B']",1
159,"The following are multiple choice questions (with answers) about common sense.
        
Question: Amsterdam is not the capital of
A. mexico
B. netherlands
Answer:","[' A', ' B']",0
160,"The following are multiple choice questions (with answers) about common sense.
        
Question: Alison Wonderland is not represented by music label
A. emi
B. dna
Answer:","[' A', ' B']",1
161,"The following are multiple choice questions (with answers) about common sense.
        
Question: George Harrison is not represented by music label
A. apple
B. emi
Answer:","[' A', ' B']",0
162,"The following are multiple choice questions (with answers) about common sense.
        
Question: This Is War is not represented by music label
A. emi
B. island
Answer:","[' A', ' B']",1
163,"The following are multiple choice questions (with answers) about common sense.
        
Question: Cilla Black is not represented by music label
A. platinum
B. emi
Answer:","[' A', ' B']",0
164,"The following are multiple choice questions (with answers) about common sense.
        
Question: The Temptations Sing Smokey is not represented by music label
A. motown
B. concord
Answer:","[' A', ' B']",1
165,"The following are multiple choice questions (with answers) about common sense.
        
Question: Adalbert of Mainz does not have the position of
A. abbot
B. archbishop
Answer:","[' A', ' B']",0
166,"The following are multiple choice questions (with answers) about common sense.
        
Question: Eusebius of Caesarea does not have the position of
A. bishop
B. secretary
Answer:","[' A', ' B']",1
167,"The following are multiple choice questions (with answers) about common sense.
        
Question: Ruricius does not have the position of
A. consul
B. bishop
Answer:","[' A', ' B']",0
168,"The following are multiple choice questions (with answers) about common sense.
        
Question: Eusebius of Nicomedia does not have the position of
A. bishop
B. secretary
Answer:","[' A', ' B']",1
169,"The following are multiple choice questions (with answers) about common sense.
        
Question: Eskil of Lund does not have the position of
A. rector
B. archbishop
Answer:","[' A', ' B']",0
170,"The following are multiple choice questions (with answers) about common sense.
        
Question: London Bridge is not named after
A. london
B. charles
Answer:","[' A', ' B']",1
171,"The following are multiple choice questions (with answers) about common sense.
        
Question: Eastwood Town F.C. is not named after
A. ewing
B. eastwood
Answer:","[' A', ' B']",0
172,"The following are multiple choice questions (with answers) about common sense.
        
Question: USS Louisiana is not named after
A. louisiana
B. alabama
Answer:","[' A', ' B']",1
173,"The following are multiple choice questions (with answers) about common sense.
        
Question: Geelong Football Club is not named after
A. hewitt
B. geelong
Answer:","[' A', ' B']",0
174,"The following are multiple choice questions (with answers) about common sense.
        
Question: Brighton railway station is not named after
A. brighton
B. kemp
Answer:","[' A', ' B']",1
175,"The following are multiple choice questions (with answers) about common sense.
        
Question: Toyota Matrix is not produced by
A. yamaha
B. toyota
Answer:","[' A', ' B']",0
176,"The following are multiple choice questions (with answers) about common sense.
        
Question: Kindle Fire is not produced by
A. amazon
B. pandora
Answer:","[' A', ' B']",1
177,"The following are multiple choice questions (with answers) about common sense.
        
Question: BMW M54 is not produced by
A. rover
B. bmw
Answer:","[' A', ' B']",0
178,"The following are multiple choice questions (with answers) about common sense.
        
Question: Fiat 1400 is not produced by
A. fiat
B. suzuki
Answer:","[' A', ' B']",1
179,"The following are multiple choice questions (with answers) about common sense.
        
Question: Toyota Highlander is not produced by
A. jeep
B. toyota
Answer:","[' A', ' B']",0
180,"The following are multiple choice questions (with answers) about common sense.
        
Question: The native language of Irina Khakamada is not
A. russian
B. latvian
Answer:","[' A', ' B']",1
181,"The following are multiple choice questions (with answers) about common sense.
        
Question: The native language of Augustin Barruel is not
A. haitian
B. french
Answer:","[' A', ' B']",0
182,"The following are multiple choice questions (with answers) about common sense.
        
Question: The native language of Alexander Butlerov is not
A. russian
B. hungarian
Answer:","[' A', ' B']",1
183,"The following are multiple choice questions (with answers) about common sense.
        
Question: The native language of Jules Roy is not
A. polish
B. french
Answer:","[' A', ' B']",0
184,"The following are multiple choice questions (with answers) about common sense.
        
Question: The native language of Franz Kafka is not
A. german
B. austrian
Answer:","[' A', ' B']",1
185,"The following are multiple choice questions (with answers) about common sense.
        
Question: Swedish Football Association is not a member of
A. uefa
B. fifa
Answer:","[' A', ' B']",0
186,"The following are multiple choice questions (with answers) about common sense.
        
Question: Algerian Football Federation is not a member of
A. fifa
B. uefa
Answer:","[' A', ' B']",1
187,"The following are multiple choice questions (with answers) about common sense.
        
Question: Salvadoran Football Federation is not a member of
A. uefa
B. fifa
Answer:","[' A', ' B']",0
188,"The following are multiple choice questions (with answers) about common sense.
        
Question: Greece is not a member of
A. nato
B. fiba
Answer:","[' A', ' B']",1
189,"The following are multiple choice questions (with answers) about common sense.
        
Question: Northern Mariana Islands Football Association is not a member of
A. concacaf
B. fifa
Answer:","[' A', ' B']",0
190,"The following are multiple choice questions (with answers) about common sense.
        
Question: Sebastian Coe never worked in
A. london
B. china
Answer:","[' A', ' B']",1
191,"The following are multiple choice questions (with answers) about common sense.
        
Question: Joan Ruddock never worked in
A. australia
B. london
Answer:","[' A', ' B']",0
192,"The following are multiple choice questions (with answers) about common sense.
        
Question: Joachim Murat never worked in
A. paris
B. france
Answer:","[' A', ' B']",1
193,"The following are multiple choice questions (with answers) about common sense.
        
Question: Edward Bulwer-Lytton never worked in
A. ceylon
B. london
Answer:","[' A', ' B']",0
194,"The following are multiple choice questions (with answers) about common sense.
        
Question: Richard Brinsley Sheridan never worked in
A. london
B. malta
Answer:","[' A', ' B']",1
195,"The following are multiple choice questions (with answers) about common sense.
        
Question: The capital of Sarajevo Canton is not
A. tirana
B. sarajevo
Answer:","[' A', ' B']",0
196,"The following are multiple choice questions (with answers) about common sense.
        
Question: The capital of Tasmania is not
A. hobart
B. newport
Answer:","[' A', ' B']",1
197,"The following are multiple choice questions (with answers) about common sense.
        
Question: The capital of Auckland Region is not
A. windsor
B. auckland
Answer:","[' A', ' B']",0
198,"The following are multiple choice questions (with answers) about common sense.
        
Question: The capital of South Korea is not
A. seoul
B. kim
Answer:","[' A', ' B']",1
199,"The following are multiple choice questions (with answers) about common sense.
        
Question: The capital of Maharashtra is not
A. hassan
B. mumbai
Answer:","[' A', ' B']",0
200,"The following are multiple choice questions (with answers) about common sense.
        
Question: K.S.V. Roeselare is not located in
A. belgium
B. orange
Answer:","[' A', ' B']",1
201,"The following are multiple choice questions (with answers) about common sense.
        
Question: Prachin Buri River is not located in
A. sumatra
B. thailand
Answer:","[' A', ' B']",0
202,"The following are multiple choice questions (with answers) about common sense.
        
Question: Canjuers is not located in
A. france
B. bordeaux
Answer:","[' A', ' B']",1
203,"The following are multiple choice questions (with answers) about common sense.
        
Question: Cossogno is not located in
A. tunisia
B. italy
Answer:","[' A', ' B']",0
204,"The following are multiple choice questions (with answers) about common sense.
        
Question: Penna Ahobilam is not located in
A. india
B. cyprus
Answer:","[' A', ' B']",1
205,"The following are multiple choice questions (with answers) about common sense.
        
Question: Anders Fager not used to communicate in
A. english
B. swedish
Answer:","[' A', ' B']",0
206,"The following are multiple choice questions (with answers) about common sense.
        
Question: Georgios Lassanis not used to communicate in
A. greek
B. latin
Answer:","[' A', ' B']",1
207,"The following are multiple choice questions (with answers) about common sense.
        
Question: Gerrit Paape not used to communicate in
A. english
B. dutch
Answer:","[' A', ' B']",0
208,"The following are multiple choice questions (with answers) about common sense.
        
Question: Michel Godard not used to communicate in
A. french
B. english
Answer:","[' A', ' B']",1
209,"The following are multiple choice questions (with answers) about common sense.
        
Question: Luc Moullet not used to communicate in
A. english
B. french
Answer:","[' A', ' B']",0
